idx	chapter	ref
86	2	"One problem here is the failure of the U.S. Department of State, and most international organizations as well, to clearly differentiate dependencies from ""areas of special sovereignty"" (see <a class='reflink' target='_blank' href='https://www.state.gov/s/inr/rls/10543.htm'>""Dependencies and Areas of Special Sovereignty,""</a> <i>US Department of State</i>). The CIA World Factbook does specify that each of the British bases on Cyprus count as an ""area of special sovereignty"" (see <a class='reflink' target='_blank' href='https://www.cia.gov/library/publications/the-world-factbook/geos/print_ax.html'>here</a> and <a class='reflink' target='_blank' href='https://www.cia.gov/library/publications/the-world-factbook/geos/print_ax.html'>here</a>.  Hong Kong and Macao are likewise usually reckoned as ""areas of special sovereignty.""<br>Other places that are sometime classified as ""areas of special sovereignty"" include Finland's autonomous Aland Islands and Norway's dependency of Svalbard (see <a class='reflink' target='_blank' href='https://www.cs.mcgill.ca/~rwest/wikispeedia/wpcd/wp/l/List_of_countries.htm'>here</a>). The U.S. Department of State, however, includes only the latter in its list of ""dependencies and areas of special sovereignty.""<br>More problematic, the same source incorrectly includes French overseas departments in this list, while noting that, ""French Guiana, Guadeloupe, Martinique, Mayotte and Reunion are first-order administrative divisions of overseas France, and are therefore not dependencies or areas of special sovereignty. They are included in this list only for the convenience of the user."" Their inclusion, we suspect, generates more confusion than convenience for ""the user."""
87	2	"See <a class='reflink' target='_blank' href='https://www.iso.org/iso-3166-country-codes.html'>International Organization for Standardization</a>, Country Codes ISO 3166."
88	2	"Technically speaking, these are ISO 3166-1 alpha-2 codes."
89	2	"At the next level down in the spatial hierarchy, ISO 3166-2 provides codes for the main subdivisions of the larger of these ""countries,"" such as India's Uttar Pradesh [IN-UP], with a population of more than 200 million."
90	2	See <a class='reflink' target='_blank' href='https://apps.timwhitlock.info/emoji/tables/iso3166'>Tim Whitlock's</a> webpage on this issue.
91	2	"Ferguson (2004, 358)."
92	2	"Winchester (2004, 346)."
93	2	"Immerwarh (2019, 18)."
94	2	See the <a class='reflink' target='_blank' href='http://fisherymanagement.wikia.com/wiki/Exclusive_Economic_Zone'>data tables</a> found in <i>Fishery Management</i>.
95	2	"Immerwahr (2019, 340)."
96	2	"<a class='reflink' target='_blank' href='http://www.dutchcaribbeanlegalportal.com/about-us/the-dutch-caribbean'>""Dutch Caribbean,""</a> in <i>Dutch Caribbean Legal Portal</i>.<br>Although determined to retain their ties with the Netherlands, the residents of the two largest islands, Aruba and Curacao, are equally adamant that they remain cut-off from each other, tied to the metropole through separate formal relations. As Arend Lijphart (1980, 191) notes, ""during the colonial period, the Arubans often resented the overbearing administration of their island from Curacao more than Dutch colonialism itself..."""
97	2	"See <a class='reflink' target='_blank' href='https://www.abc.net.au/news/2018-11-05/new-caledonia-rejects-independence-from-france/10464248'>""New Caledonia Narrowly Rejects Independence from France in Historic Referendum,""</a> by Stephen Dziedzic and Prianka Srinivasan, <i>ABC News</i>, November 4, 2018. But with more than 56 percent of the voters rejecting independence, the rejection of independence was perhaps not as narrow as the headline indicates. In the 2020 independence referendum, however, support for remaining a dependency of France dropped to 53 percent. See <a class='reflink' target='_blank' href='https://www.aspistrategist.org.au/no-vote-in-new-caledonia-independence-referendum-a-pyrrhic-victory-for-loyalists/'>'No' Vote in New Caledonia Independence Referendum a Pyrrhic Victory for Loyalists</a>,"" by Denise Fisher, <i>The Strategist</i> (Australian Strategic Policy Institute). October 6, 2020."""
98	2	"<a class='reflink' target='_blank' href='http://foreignpolicy.com/2012/01/24/house-of-19000-corporations/'>""House of Nineteen Thousand Corporations,""</a> by Joshua E. Keating. <i>Foreign Policy</i>, January 24, 2012.<br>See also, <a class='reflink' target='_blank' href='https://www.theguardian.com/us-news/2016/jan/18/the-cayman-islands-home-to-100000-companies-and-the-850-packet-of-fish-fingers'>""The Cayman Islands: Home to 100,000-Companies and the &#163;8.50 Packet of Fish Fingers,""</a> by Jaques Peretti, <i>The Guardian</i>, January 18, 2016."
99	2	"<a class='reflink' target='_blank' href='https://www.theatlantic.com/international/archive/2016/04/panama-papers-tax-havens-world/477042/'>""The Geography of Financial Secrecy,""</a> by Uri Friedman, <i>The Atlantic</i>, April 9, 2016. Admittedly, not all of this money is held in non-sovereign off-shore banking centers, but a great deal of it is. <br>Intriguingly, the concept of ""off-shore banking"" originated with some of Europe's most venerable geopolitical incongruities, the Isle of Man and the Channel Islands. As crown dependencies, Jersey, Guernsey, and Man are not subject to the laws of the United Kingdom, but they do shelter beneath its protective blanket, as we shall explore later."
100	2	"In 2019, for example, ""the leaders of the British Overseas Territories presented a united front... against what they all see as the creeping neo-colonialism of the UK."" See <a class='reflink' target='_blank' href='https://caymannewsservice.com/2019/06/bots-unite-over-modern-colonialism/'>""BOTs Unite Over 'Modern Colonialism' Threat.""</a> <i>Cayman News Service</i>, June 27, 2019."
101	2	"See, for example, <a class='reflink' target='_blank' href='https://www.brookings.edu/blog/africa-in-focus/2015/11/05/what-do-we-know-about-the-chinese-land-grab-in-africa/'>""What Do We Know About Chinese Land Grabs in Africa,""</a> by Amadou Sy, <i>Brookings</i>, November 5, 2015."
102	2	"See, for example, <a class='reflink' target='_blank' href='https://www.washingtonpost.com/news/theworldpost/wp/2018/04/12/china-africa/?utm_term=.2c6e0daf0fbd'>""U.S. Politicians Get China in Africa All Wrong,""</a> by Deborah Br&auml;utigam, <i>Washington Post</i>, April 12, 2018."
103	2	"Political leaseholds and other forms ""privatized sovereignty"" form a vast topic that we cannot do justice to in these pages. For a historical exploration of the phenomenon, see Press (2017). As he argues, sovereign rights over lands and persons in the late 1800s essentially became commodities, ""accessible to every kind of buyer"" (2017, 173). "
104	2	"Lazar (1968, 730). "
105	2	"Guantanamo Bay, however, is marked in the regional CIA political map of Central America and the Caribbean. On that map, it is colored as part of Cuba but is labeled ""U.S. Naval Base Guantanamo Bay."""
106	2	"Vine (2015, 4). Of that total, about ten percent, or 64, are ""active major installations."""
107	2	"Lutz (2009, 7)."
108	2	"Johnson (2000, 21).  Elsewhere, Johnson (2010, 1) rather extraordinarily described Japan as a ""docile satellite of the United States."""
109	2	"<a class='reflink' target='_blank' href='https://www.theguardian.com/world/2019/feb/25/un-court-rejects-uk-claim-to-sovereignty-over-chagos-islands'>""UN Court Rejects UK's Claim of Sovereignty over Chagos Islands,""</a> by Owen Bowcott. <i>The Guardian</i>. February 25, 2019."
110	2	"Whether the vast network of U.S. foreign military bases constitutes an empire is a complex and controversial issue. Those who reject the idea point to the fact that several countries, including the Philippines, Kyrgyzstan, and Uzbekistan, have expelled U.S. forces and taken over their bases with relatively little push-back from Washington.  But even if foreign military bases are excluded, some writers maintain that unequal power relations alone can generate imperial sway. For Engseng Ho, the United States is ""an empire without colonies,"" or an ""anti-colonial empire"" (2004, 225), able and inclined to dominate other states even without the ""presence of possession over expansive transnational spaces..."" (2004, 211). Such an expansive claim is certainly not going to be resolved in these pages. But in one sense, it is moot; even if one looks only at formal dependencies, the United States can be regarded as holding a vestigial empire."
111	2	"Vasiliev (2018, 489)."
112	2	"See <a class='reflink' target='_blank' href='https://www.politico.eu/blogs/the-coming-wars/2018/01/the-most-valuable-military-real-estate-in-the-world/'>""The Most Valuable Military Real Estate in the World: Strategically Placed at the Entrance to the Red Sea, Djibouti Is Home to More Foreign Bases Than Any Other Country,""</a> by Bruno Macaes, <i>Politico</i>, January 15, 2018."
113	2	"As a final note, it must be acknowledged that the United States, Russia, France, and the UK are not the only countries to maintain effective spheres of influence, allowing them to cast a penumbra of sovereignty over lands and waters well outside their own territorial bounds. Australia, for example, has intervened in several Melanesian countries in recent decades, sending in security forces when anarchy seemed impending. It did so, however, through the invitation of the states in question, and with substantial local support. An Australian-led military contingent was present in the Solomon Islands, for example, from 2003 to 2013, as part of <i>Operation Helpem Fren</i> (See RAMSI Ends: <a class='reflink' target='_blank' href='https://thediplomat.com/2017/06/ramsi-ends-whats-next-for-the-solomon-islands/'>""What's Next for the Solomon Islands?""</a> by Grant Wyeth, <i>The Diplomat</i>: June 30, 2017.) <br>Australia has also recently operated overseas detention facilities for undocumented would-be immigrants, which some scholars view as neo-imperial impositions. But Australia shuttered the Manus Regional Processing Centre in Papua New Guinea (PNG) in 2017 after the PNG Supreme Court ruled that this detention facility was illegal; it shut down its ""processing facility"" in Nauru in 2019. In 2018 the Australian government closed a detention center in its own dependent territory of Christmas Island, but it might be reopened in the near future. In the case of the Nauru facility, media access had been tightly restricted, supposedly by Nauru's own government. An October 2018 issue of <i>The Guardian</i>, however, reported that the policy was actually concocted jointly by Nauru and Australia. (<a class='reflink' target='_blank' href='https://www.theguardian.com/australia-news/2018/oct/04/australia-jointly-responsible-for-naurus-draconian-media-policy-documents-reveal'>""Australia Jointly Responsible for Nauru's Draconian Media Policy, Documents Reveal,""</a> by Helen Davidson. <i>The Guardian</i>, October 3, 2018.) Basic issues of sovereignty are thus at play yet again."
